sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	vocabulary matches	vocabulary matches percentage	vocabulary words found
22	Je suis si bien à M. ***, me répondit-il, que je suis M. *** lui-même.	5	5	17	0	0.0	[]
23	Il remarqua l'étonnement que me causait sa réponse: tel est l'arrêt irrévocable que je subis, reprit-il tout de suite;	5	6	22	0	0.0	[]
24	je suis condamné à servir ici, ceux à qui je me croyais, tout au moins, égal là-haut.	5	7	18	0	0.0	[]
25	Qui que vous soyez, mort ou vivant, car vous n'avez la mine ni de l'un, ni de l'autre;	5	8	21	1	0.047619047619047616	[['un']]
26	écoutez ce que je vais vous apprendre, et si vous n'êtes ici qu'en entrepôt, comme je le soupçonne, ne manquez pas d'en faire part aux Auteurs vivant.	5	9	30	1	0.03333333333333333	[['faire']]
27	Chacun pèse ici ce qu'il vaut, pas davantage: la brigue et la faveur ne sçauraient mettre un grain de plus dans une balance qui est tenue par la Justice la plus sévère.	6	0	33	3	0.09090909090909091	[['peser'], ['un'], ['un']]
28	Tout cela est conforme à la croyance commune et n'a rien de nouveau pour vous, mais ceci le sera.	6	1	20	0	0.0	[]
29	Ceux dont les ouvrages doivent passer à l'immortalité, en reçoivent la récompense dans ce Palais, bâti des mains même de la gloire, et duquel c'est ici le vestibule.	6	2	30	1	0.03333333333333333	[['main']]
30	Ils y sont enyvrés de plaisirs et d'honneurs.	6	3	9	0	0.0	[]
31	Les Bossuets, les Fénelons, les Molieres, les Corneilles, les Racines, les Despréaux, les Rousseaux, les Montesquieux, les Fontenelles, etc. en sont les heureux possesseurs;	6	4	24	0	0.0	[]
32	pour nous, nous sommes à leurs ordres, ce nombre confus de gens bigarrés que vous voyez, fait partie de leur maison, et leur bonheur est si solidement établi, que leur train s'accroît tous les jours.	6	5	36	1	0.027777777777777776	[['faire']]
33	A mesure que les Auteurs arrivent, ils sont jugés, et la plupart s'arrêtent ici, malheureusement pour nous;	6	6	18	0	0.0	[]
34	la foule augmente tellement, que bientôt, hélas!	6	7	7	0	0.0	[]
35	nous ne pourrons plus y être contenus, et que nous y serons à la presse, en punition d'y avoir mis nos ouvrages.	6	8	23	0	0.0	[]
36	Cet appartement est bien vaste, lui dis-je, et ce que vous craignez ne me parait guère vraisemblable, n'allez donc pas vous faire un supplice d'une chose qui n'arrivera jamais;	7	0	33	4	0.12121212121212122	[['vaste'], ['faire'], ['un'], ['un']]
37	au contraire, ajoûtai-je, pour calmer le chagrin qui éclatait dans toute sa personne, les nouveaux venus vous amuseront par les nouvelles dont ils vous feront part.	7	1	27	1	0.037037037037037035	[['faire']]
38	Ah!	8	0	1	0	0.0	[]
39	reprit-il amèrement, comment me persuaderiez-vous une chose dont l'expérience me montre tous les jours le contraire.	8	1	19	1	0.05263157894736842	[['un']]
40	Il faut que la demangaison d'écrire soit devenue épydémique: les Auteurs ne viennent plus un à un et de temps en temps, comme autrefois, ils descendent en troupe, et s'ils étaient amusans, les verrions-nous dans ce lieu?	8	2	40	2	0.05	[['un'], ['un']]
41	Jettez les yeux sur tout ce monde, voyez le silence qui y règne et l'ennui qui le consume: C'est la réparation de celui que nos ouvrages ont causé.	8	3	30	1	0.03333333333333333	[['oeil']]
42	Nous autres du siècle passé disons par fois quel-que chose, mais on ne peut arracher un mot à tous ces nouveaux débarqués, ils sont de plus que nous, condamnés à un baillement perpétuel.	8	4	34	2	0.058823529411764705	[['un'], ['un']]
43	Examinez-en la troupe languissante et soporifique: je les fixai en effet et ils me parurent si prodigieusement ennuyés, que malgré la curiosité que tout cela excitait en moi, je ne pus m'empêcher de bailler par sympathie.	8	5	38	0	0.0	[]
44	Après quelques efforts réïtérés que je fis, pour me défendre du sommeil contagieux qui allait s'ensuivre;	9	0	17	1	0.058823529411764705	[['faire']]
45	je repris la conversation ainsi: expliquez-moi, je vous en prie, si vous servez en commun les mêmes Maître, et dans ce cas, pourquoi cette différence de livrées?	9	1	28	0	0.0	[]
46	Le Palais est commun, il y a des appartements communs;	9	2	10	1	0.1	[['un']]
47	mais outre cela, chaque Maître a sa maison particulière.	9	3	9	0	0.0	[]
48	Pourquoi donc appartenez-vous à l'un plutôt qu'à l'autre?	9	4	12	1	0.08333333333333333	[['un']]
49	Quel ordre observeton à cet égard?	9	5	6	0	0.0	[]
50	Cet ordre est tout simple, reprit-il, les mauvais comiques servent Moliere, les tragiques, Corneille ou Racine, ainsi du reste;	9	6	20	0	0.0	[]
51	en qualité de mauvais Poëte, je suis à M. Despréaux.	9	7	10	0	0.0	[]
52	Dans cet instant on ouvrit une porte des appartements intérieurs, et l'on donna une commission à mon homme qui me quitta.	10	0	22	2	0.09090909090909091	[['un'], ['un']]
53	L'air humble et bas que je remarquai à tous ces Auteurs laquais, me donna l'effronterie de les fixer en face et de les considérer en détail;	11	0	28	2	0.07142857142857142	[['bas'], ['face']]
54	il n'était pas naturel que je me sentisse là plus de respect pour leurs personnes, que je n'en avais pour leurs ouvrages, la première découverte que je fis, fut qu'ils étaient tous étiquetés au front comme des livres, avec le titre de leurs œuvres, qui leur avait mérité cette condamnation; et que de noms et de titres inconnus ne lus je point!	11	1	65	4	0.06153846153846154	[['naturel'], ['faire'], ['front'], ['un']]
55	la variété de toutes leurs couleurs, m'en avait d'abord imposé; mais dans la revûe que j'en fis, que je les trouvai maussades! A travers les galons et les dorures dont plusieurs étaient décorés, je vis dessous	11	2	39	1	0.02564102564102564	[['couleur']]
56	la poudre et les vers qui les rongeaient	11	3	8	0	0.0	[]
57	.	11	4	0	0	0	[]
58	Ah! malheureux, dis-je, vous essuyez donc ici le même sort que vos œuvres là-haut.	11	5	16	0	0.0	[]
59	Que ne puis-je vous montrer à quelques Auteurs de ma connaissance.	11	6	12	0	0.0	[]
60	Voyez leur dirais-je, et tremblez.	11	7	6	0	0.0	[]
61	Les uns étaient affaissés sous le poids de leurs corps, tandis que d'autres maigres et décharnés semblaient ne pas peser sur leur baze.	12	0	24	5	0.20833333333333334	[['un'], ['corps'], ['maigre'], ['décharner'], ['peser']]
62	Ces gens-là, me disais-je, ne sont sûrement pas nourris à la même table: mais tout cela n'est pas sans cause, instruisons-nous de tout.	12	1	27	0	0.0	[]
63	Je cherchai long	12	2	3	0	0.0	[]
64	-	12	3	0	0	0	[]
65	temps	12	4	1	0	0.0	[]
66	avant de trouver quelqu'un de connu	12	5	7	1	0.14285714285714285	[['un']]
67	.	12	6	0	0	0	[]
68	Je rencontrai enfin Pradon et ce fut à lui à qui je m'adressai.	12	7	14	0	0.0	[]
69	Puisque vos tragédies ne vous ont pas rendu maître ici, vous devez, lui dis-je, être vraisemblablement à M. Racine.	13	0	20	0	0.0	[]
70	Vous ne vous trompez pas, me dit-il: je vous vois ici bien des camarades, et s'il faut en juger par le nombre des tragédies nouvelles, votre maître va devenir un des plus grands Seigneurs des Enfers.	13	1	38	3	0.07894736842105263	[['un'], ['un'], ['grand']]
71	N'y a-t-il point de jalousse entre Corneille et lui, ou pour éviter tout discord, y aurait-il quelque réglement entre'eux?	13	2	24	0	0.0	[]
72	Les Auteurs, me répondit il, portent leur destination en entrant ici.	14	0	11	0	0.0	[]
73	La force et le sublime, font principalement le caractère de Corneille;	14	1	11	2	0.18181818181818182	[['sublime'], ['faire']]
74	ceux qui portent sa livrée, sont ceux qui ayant voulu l'imiter, s'y sont pris comme la grenouille auprès du bœuf.	14	2	22	0	0.0	[]
75	En voilà la bande boursouflée.	14	3	5	0	0.0	[]
76	Je me tournai du côté où il me les montrait, et ils me semblérent tous bouffis et enflés.	14	4	18	0	0.0	[]
77	Rien n'est si doux, continua-t-il, si tendre, si élégant que mon maître;	14	5	15	2	0.13333333333333333	[['dou'], ['tendre']]
78	l'air fade de ces gens risqueroit de vous donner au cœur si vous vous en approchiez de trop près: et déjà il me faisait éprouver qu'il disait vrai.	14	6	30	1	0.03333333333333333	[['faire']]
79	Qui sont, Monsieur, ces pauvres gens si décharnés?	15	0	8	0	0.0	[]
80	Ce sont, me dit-il, des Auteurs dont les ouvrages sont aussi secs et aussi maigres qu'eux.	15	1	18	3	0.16666666666666666	[['un'], ['sec'], ['maigre']]
81	Et ceux-ci au contraire qui sont si bien nourris et si prodigieusement grands et gros?	15	2	16	1	0.0625	[['grand']]
82	Ce sont des in-folio, chargés de beaucoup de matière et de peu d'esprit.	15	3	15	1	0.06666666666666667	[['un']]
83	Un Régiment de soldats de cette taille, me dis-je tout bas, vaudrait, tout au moins, le gain de la première bataille, comme les éléphans à Pyrhus.	15	4	27	3	0.1111111111111111	[['un'], ['taille'], ['bas']]
84	Vous me trouverez bien interrogatif, continuai-je;	16	0	7	0	0.0	[]
85	mais de grâce expliquez-moi, si vous mangez, avec quoi on vous nourrit et qui fournit à cetté dépense?	16	1	19	1	0.05263157894736842	[['fournir']]
86	A ces mots il prit un air austère, et je vis dans ses yeux un feu qu'il n'a sûrement que dans ses ouvrages.	16	2	25	3	0.12	[['un'], ['oeil'], ['un']]
87	Si nous avons jamais fait quelque chose de bon, dit-il, il nous vient à la bouche, nous le mâchons, le ruminons et en exprimons tout le suc;	16	3	28	2	0.07142857142857142	[['faire'], ['bouche']]
88	c'est-là toute notre nourriture: les aliments de la plupart qui sont ici, se réduisent pour la suite des siècles, à quelque douzaine de vers, ou a quelques lambeaux de phrase, qui, à force d'être mâchés et remâchés, n'ont presque plus pour nous aucune saveur, et nous donnent un dégoût affreux;	16	4	54	2	0.037037037037037035	[['un'], ['un']]
89	aussi sommes-nous dévorés de la faim la plus cruelle.	16	5	10	0	0.0	[]
90	Exhortez, Monsieur, les Auteurs vivant, de notre part, à la souffrir avec patience; représentez-leur fortement qu'il vaut bien mieux pour eux qu'ils l'endurent là-haut pendant leur vie, sans écrire, que de venir l'endurer ici à jamais, pour avoir écrit.	16	6	45	2	0.044444444444444446	[['haut'], ['pendant']]
91	Tout ce que je voyais et ce que je venais d'apprendre, m'inspirait une telle horreur et un tel ennui, que je commençais de partager les tourments de ces misérables.	17	0	31	2	0.06451612903225806	[['un'], ['un']]
92	Ne pourrais-je point, lui dis-je, entrer dans les appartements: vous êtes bien le maître, me dit il, et il m'en ouvrit tout de suite la porte.	17	1	29	0	0.0	[]
93	CHAPITRE III.	18	0	2	0	0.0	[]
94	L'Anti-Chambre.	19	0	2	0	0.0	[]
95	QUe je me sentis soulagé! les jours en étaient bien différents.	20	0	11	0	0.0	[]
96	Je crus sortir de prison, en sortant de cet ennuyeux et ennuyé Vestibule.	20	1	13	0	0.0	[]
97	Mais sur tout quel contraste dans les physionomies de ceux que j'y trouvai! les autres plates, grossières et manquées, inspiraient le dégoût et le mépris;	20	2	26	1	0.038461538461538464	[['plate']]
98	celles-ci, gracieuses, douces et régulières, s'attiraient d'abord l'estime et l'amitié.	20	3	14	2	0.14285714285714285	[['gracieux'], ['douce']]
99	La politesse de leurs écrits était aussi dans leurs manières.	20	4	10	0	0.0	[]
100	Je ne tardai pas à l'éprouver.	20	5	7	0	0.0	[]
101	A quoi peut-on vous être utile, me dit l'un d'entre eux, d'un air prévenant, voulez-vous voir nos Maîtres?	20	6	23	2	0.08695652173913043	[['un'], ['un']]
102	Comment vos Maîtres, répondis-je tout ému, est-ce que vous êtes faits pour servir quelqu'un?	20	7	17	2	0.11764705882352941	[['émouvoir'], ['faire']]
103	Et nos grands Auteurs François seraient-ils ici subalternes et au service de ceux de quelque autre nation?	20	8	18	1	0.05555555555555555	[['grand']]
104	Non, Monsieur, me répliqua M. de la Motte: car il était étiqueté comme on l'était au Vestibule, et je le connus là, si je ne l'avais déjà reconnu à sa politesse.	20	9	33	1	0.030303030303030304	[['motte']]
105	Nos Maîtres ne le cèdent à personne, leurs ouvrages seront immortels comme eux, et feront constamment les délices des races futures: il n'en est pas ainsi des nôtres: ces fleurs qui ne se fanent jamais y sont trop clair semées, elles seront étouffées par les épines plus nombreuses qui y sont, et entraînées dans la nuit des siècles.	20	10	59	2	0.03389830508474576	[['faire'], ['clair']]
106	Ces couronnes que j'ai si souvent remportées et que j'imaginais devoir toujours rester vertes, se sont séchées devant celles de Rousseau.	20	11	23	0	0.0	[]
107	J'admire dans ces régions, où l'amour propre ne nous offusque plus, les accent harmonieux de sa lyre que je mettais au-dessous de la mienne: j'étais là-haut son rival, je remplis ici le premier emploi de sa chambre.	20	12	42	3	0.07142857142857142	[['accent'], ['harmonieux'], ['haut']]
108	Heureux encore de n'avoir pas été adjugé pour mes fables à la Fontaine, chez qui l'on ne m'aurait pas fait un sort si doux.	20	13	27	2	0.07407407407407407	[['faire'], ['un']]
109	Pendant qu'il me parlait ainsi, je parcourais avec des yeux avides toute sa personne, et rien ne m'y paraissait bien naturel.	21	0	23	4	0.17391304347826086	[['pendant'], ['un'], ['oeil'], ['avide']]
110	Ses gestes étaient affectés et sa parure comparable à celle d'une jeune coquette, l'art y éclatait par-tout et sans ménagement:	21	1	23	1	0.043478260869565216	[['un']]
111	Ah! me dis-je tout bas, serait-ce la punition de celui qu'il a mis dans ses vers? et les défauts de l'ouvrage passeraient	21	2	26	1	0.038461538461538464	[['bas']]
112	-ils par une espèce de métempsycose, dans les attitudes, les ajustement et la figure de l'Auteur?	21	3	17	2	0.11764705882352941	[['un'], ['figure']]
113	La curiosité de voir si cette idée avait en effet quelque réalité, devint trop forte pour y résister.	21	4	18	1	0.05555555555555555	[['fort']]
114	Je les examinai, mais à la dérobée, dans la crainte de passer pour impoli ou de leur faire de la peine s'ils s'en appercevaient.	21	5	26	1	0.038461538461538464	[['faire']]
115	Balzac était magnifique, mais son écharpe était trop ample, ses canons trop vastes, son collet trop empesé.	21	6	17	2	0.11764705882352941	[['magnifique'], ['vaste']]
116	Voiture était mince et fluet, et ne marchait que sur la pointe des pieds.	21	7	14	2	0.14285714285714285	[['mince'], ['fluet']]
117	Segrais tantôt embouchait la trompette et tantôt le chalumeau;	21	8	9	0	0.0	[]
118	mais le souffle lui manquait pour l'une et il faisait de faux tons sur l'autre.	21	9	17	4	0.23529411764705882	[['un'], ['faire'], ['faux'], ['ton']]
119	Pavillon tenait une posture agréable et naturelle, mais sans noblesse.	21	10	10	4	0.4	[['un'], ['postur'], ['agréable'], ['naturel']]
120	Pelisson avait beaucoup de douceur et semblait convalescent.	21	11	8	0	0.0	[]
121	Tout était compassé et symétrisé dans Bouhours.	21	12	7	0	0.0	[]
122	Du Cerceau avec un grand air de vivacité et de gaieté, avait peine à se soutenir sur ses jambes;	21	13	19	2	0.10526315789473684	[['un'], ['grand']]
123	sa ceinture était liée avec grâce, mais sa robe était lâche et décousue.	21	14	13	0	0.0	[]
124	Campistron était pâle et débile.	21	15	5	1	0.2	[['pâle']]
125	Chapelle et la Fare, fort négligés, mais fort gracieux	21	16	9	2	0.2222222222222222	[['fort'], ['fort']]
126	, étaient nonchalemment assis sur un sopha, etc....	21	17	7	1	0.14285714285714285	[['un']]
127	Pendant que mes yeux faisaient cette échapée, j'avais cessé de faire attention à ce que me disait M. de la Motte et il s'était arrêté: je revins à lui.	22	0	31	5	0.16129032258064516	[['pendant'], ['oeil'], ['faire'], ['faire'], ['motte']]
128	Ah!	22	1	1	0	0.0	[]
129	Monsieur, lui dis-je tout confus, ce que je vois est si nouveau pour moi, que ma distraction est bien pardonnable.	22	2	21	0	0.0	[]
130	Veuillez, je vous en conjure, reprendre le fil de votre discours.	22	3	11	0	0.0	[]
131	Il continua ainsi de la façon du monde la plus polie.	22	4	11	0	0.0	[]
132	Par ce que vous avez vu au Vestibule, vous pouvez juger de ce qui se passe ici, la différence n'est que du plus au moins.	23	0	26	0	0.0	[]
133	Nos aliments sont les mêmes, mais nous faisons, ajoûta-t-il d'un ton ironique, un peu meilleure chère et changeons un peu plus souvent de mets.	23	1	27	5	0.18518518518518517	[['faire'], ['un'], ['ton'], ['un'], ['un']]
134	L'ennui nous gagne quelquefois à la vérité, mais bientôt quelque heureuse saillie nous secoue et nous réveille.	23	2	18	0	0.0	[]
135	La foule ici n'est pas si grande et nous n'avons pas la perspective affreuse d'être un jour écrasés les uns contre les autres.	23	3	26	4	0.15384615384615385	[['grand'], ['un'], ['écraser'], ['un']]
136	Nous aprochons de près nos Maîtres, qui sont pleins de bonté et d'égards pour nous: nos emplois auprès d'eux ont mille agrément et milles charmes, en les servant dans leurs plaisirs	24	0	33	1	0.030303030303030304	[['plein']]
137	, nous les partageons en quelque façon avec eux;	24	1	8	0	0.0	[]
138	c'en est toujours un bien réel que celui de les entendre.	24	2	12	1	0.08333333333333333	[['un']]
139	Je le remerciai, le mieux qu'il me fut possible, de ce qu'il venait de m'apprendre.	25	0	18	0	0.0	[]
140	Mettez le comble à vos bontés, lui dis-je, permettez-moi de parcourir vos appartements?	25	1	15	0	0.0	[]
141	les compliment sont abolis ici, sans doute;	25	2	7	0	0.0	[]
142	laissez-moi donc sans façon faire cette visite tout seul, je n'en verrai que mieux, parce que je ne serai point pressé par la crainte d'abuser de votre complaisance.	25	3	31	2	0.06451612903225806	[['faire'], ['presser']]
143	Comme il vous plaira, reprit il, je ne veux pas vous gêner.	25	4	12	0	0.0	[]
144	Je profitai sur le champ de la permission qu'il me donnait, et j'employai une heure ou deux à visiter fort en détail plusieurs enfilades de chambres.	26	0	28	2	0.07142857142857142	[['un'], ['fort']]
145	Ce que j'en dirai, c'est qu'elles présentaient un coup-d'œil agréable, mais que d'ailleurs elles étaient toutes dissemblables, l'une avait trop de jour, et l'autre était un peu obscure.	26	1	34	4	0.11764705882352941	[['un'], ['agréable'], ['un'], ['un']]
146	Dans celle-ci il y avait tant d'ordre et de symétrie, qu'on voyait tout, d'un coup-d'œil, et dans celle-là il fallait une attention extrême, pour démêler la confusion.	26	2	31	2	0.06451612903225806	[['un'], ['un']]
147	Ici les tables, la cheminée, les encoignures étaient surchargées d'ornement et de colifichets: et là, des mûrs solides et régulièrement bâtis, étaient trop nus.	26	3	25	1	0.04	[['un']]
148	Ici le clinquant jettait de fausses lueurs;	26	4	7	1	0.14285714285714285	[['faux']]
149	et là, l'or éclatait tant soit peu à travers la poussière qui l'éclipsait.	26	5	15	0	0.0	[]
150	Ici les meubles à force d'être fins, n'avaient aucune consistence; et là un peu trop forts, ils approchaient du grossier.	26	6	22	3	0.13636363636363635	[['fin'], ['un'], ['fort']]
151	Dans toutes l'on trouvait du bon et du beau, mais ils n'étaient nulle part, purs et sans beaucoup d'alliage.	26	7	22	2	0.09090909090909091	[['beau'], ['pur']]
152	Je sortis cependant assez amusé de ce que je venais de voir.	27	0	12	0	0.0	[]
153	M. de la Motte vint au-devant de moi: je le priai de vouloir bien m'introduire auprès de quelqu'un des Maîtres.	27	1	23	2	0.08695652173913043	[['motte'], ['un']]
154	M. Despréaux, me dit-il, est tout seul dans le Salon commun, donnez-vous la peine d'entrer.	27	2	18	0	0.0	[]
155	CHAPITRE IV.	28	0	2	0	0.0	[]
156	Le Salon.	29	0	2	0	0.0	[]
157	J'Entrai en effet dans un Salon, le plus beau qu'on puisse imaginer.	30	0	14	2	0.14285714285714285	[['un'], ['beau']]
158	Mes yeux enchantés de la magnificence et de la richesse qui y régnaient, se laissaient entraîner à tous moment, au plaisir de les parcourir, et de l'admirer; et tout de suite ils étaient rappellés, par celui bien plus doux, de contempler le grand homme devant qui j'étais.	30	1	49	3	0.061224489795918366	[['oeil'], ['dou'], ['grand']]
159	Son air était sec et austère, et son sourire malin, mais il avait une noblesse infinie dans ses plus petits mouvement.	30	2	21	3	0.14285714285714285	[['sec'], ['un'], ['petit']]
160	Après quelques compliment mal rangés, qu'apparemment je ne lui débitai pas de meilleure grâce, car le respect dont je fus saisi en le voyant m'avait interdit;	30	3	28	0	0.0	[]
161	il me demanda poliment, par quel hasard je me trouvais-là?	30	4	11	0	0.0	[]
162	Je ne puis vous l'apprendre, lui dis-je, puisque je l'ignore moi-même.	30	5	15	0	0.0	[]
163	Je me suis trouvé, sans savoir, ni pourquoi, ni comment, devant la porte de ce Palais, j'en parcours les différents appartements depuis quelques heures, sans rameau d'or et sans sybile, et autant que je suis réjoui de vous voir, autant j'ai le cœur flétri de ce que j'ai vu au Vestibule.	30	6	55	1	0.01818181818181818	[['de', 'or']]
164	Y avez-vous trouvé quelqu'un de votre connaissance, me dit-il?	30	7	12	1	0.08333333333333333	[['un']]
165	Les étiquettes m'ont fait faire la découverte de plusieurs.	30	8	10	2	0.2	[['faire'], ['faire']]
166	Quelle différence, ô Dieux! de leur état présent, à ces mines discrettes et ce maintien jaloux qui vous les faisait reconnaître Poëtes là-haut!	30	9	24	2	0.08333333333333333	[['maintien'], ['faire']]
167	Ils se cachaient de honte, et je n'en avais pas moins de la leur causer.	30	10	16	0	0.0	[]
168	Ils vous auront prié, sans doute, de rendre public leur sort, mais je suis bien sûr que leur état n'effrayera personne: J'eus beau couvrir d'opprobre et de ridicule les Auteurs de mon temps, je ne pus en contenir aucun.	30	11	42	1	0.023809523809523808	[['beau']]
169	La race des Pelletiers et des Cottins ne s'éteindra jamais, elle nous donnera au contraire une postérité plus vicieuse.	30	12	20	1	0.05	[['un']]
170	Ce que vous dites là, repris-je, m'ôte beaucoup de regrets;	30	13	12	0	0.0	[]
171	je m'imaginais que s'il existait un homme comme vous, dont les talents et le goût fussent reconnus, et qui fut juste, vrai, et inexorable dans sa critique;	30	14	29	1	0.034482758620689655	[['un']]
172	ce serait un frein qui réprimerait la fureur qu'on a d'écrire, et je faisais au Ciel les veux les plus ardet, pour qu'il nous l'accordât;	30	15	29	2	0.06896551724137931	[['un'], ['faire']]
173	mais ce que vous nous racontez du peu de succès que vous avez eu, me persuade que vous en auriez bien moins à présent, que le mal n'a fait que s'accroître, et que tant de gens sont siflés, que ce n'est plus une honte de l'être.	30	16	50	2	0.04	[['faire'], ['un']]
174	Mais quoi, dit-il, les belles-lettres sont	31	0	7	0	0.0	[]
175	-elles dans une anarchie si générale, que personne n'y donne le ton?	31	1	13	1	0.07692307692307693	[['un']]
176	N'y a-t-il point d'Ecrivain habile et zèlé qui veuille se charger d'éclairer le public, et de le diriger vers le bon et le beau?	31	2	29	0	0.0	[]
177	Ah!	31	3	1	0	0.0	[]
178	lui répondis-je vivement, c'est l'espèce la plus commune, et quiconque voudrait lire toutes les décisions de leur Parnasse, n'aurait pas d'autre lecture à faire.	31	4	29	0	0.0	[]
179	On doit cette justice à quelques-uns;	31	5	6	0	0.0	[]
180	qu'ils auraient les talents nécessaires pour bien juger, s'ils avaient la sagesse de se renfermer dans leur ressort;	31	6	20	0	0.0	[]
181	mais ils ont la frenésie de vouloir l'étendre sur toute sorte de matière;	31	7	14	0	0.0	[]
182	imaginés les décisions qui doivent émaner de Tribunaux aussi incompétens.	31	8	10	0	0.0	[]
183	Il est d'ailleurs impossible que tant de Juges différents ne rendent des Arrêts qui se contredisent, l'un exalte ce que l'autre avilit.	32	0	25	2	0.08	[['un'], ['un']]
184	Les cabales, les intrigues, lapolitique et l'intérêt, inspirent trop souvent ces Oracles de la Littérature, et ces Aristarques se comportent trop en Zoiles.	32	1	24	0	0.0	[]
185	Les Auteurs trouvant ainsi à se consoler des mépris des uns par les louanges des autres, continuent sur le même ton, et le public se trouve par conséquent bien moins instruit et éclairé, que s'il restait abandonné à ses propres lumières.	32	2	42	4	0.09523809523809523	[['consoler'], ['un'], ['un'], ['ton']]
186	Ce que vous me racontez-là, me dit il, est étonnant, car s'il paraît tant d'ouvrages périodiques;	33	0	19	0	0.0	[]
187	à quelle prodigieuse quantité ne doit pas monter ceux qui en fournissent la matière?	33	1	14	0	0.0	[]
188	Il n'est pas possible, lui dis-je, que vous puissiez imaginer les excès où l'on en est venu Les feuilles à la fin d'Octobre ne tombent pas si épaisses, que les brochures nouvelles, où, pour vous parler plus poëtiquement encore, comparez chaque Libraire à un Dieu fleuve, dont la boutique est l'urne intarissable, d'où coulent sans cesse de grands flots, de contes, d'histoires, d'anecdotes, de nouvelles, de mémoires, d'avantures, de voyages et autres fadeurs sous toute espèces de titres ridicules qui inondent le public.	33	2	92	3	0.03260869565217391	[['fin'], ['un'], ['grand']]
189	Il faut donc, reprit-il, ou que la France, soit toute peuplée d'Auteurs, ou qu'ils saient aussi fertiles que des Scuderis.	34	0	23	1	0.043478260869565216	[['un']]
190	Nous avons, lui répondis-je, l'un et l'autre avantage.	35	0	11	1	0.09090909090909091	[['un']]
191	On publie chaque année l'inventaire de nos richesses littéraires, ** il ne serait pourtant pas facile de les calculer;	35	1	20	0	0.0	[]
192	car quoiqu'il ne contienne que les noms des écrivains vivant, et les titres de leurs ouvrages, il forme déjà un volume fort épais, que nous avons la gloire de voir grossir tous les ans et qui parviendra bientôt à l' in-folio.	35	2	43	3	0.06976744186046512	[['un'], ['fort'], ['éper']]
