sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
21	Le mupthi de son pays, grand vieillard et fort ignorant, trouva dans son livre des propositions suspectes, mal-sonnantes, téméraires, sentans l' hérésie, et le poursuivit vivement;	1	17	26	2	0.07692307692307693	[['grand'], ['fort']]
22	il s' agissait de savoir si la forme substantielle des puces de Sirius, était de même nature que celle des colimaçons.	1	18	21	0	0.0	[]
23	Micromégas se deffendit avec esprit: le procès dura deux cens vingt ans.	1	19	12	0	0.0	[]
24	Enfin le muphti fit condamner le livre par des jurisconsultes qui ne l' avaient pas lu, et l' auteur eut ordre de ne paraitre à la cour de huit cent années.	1	20	31	0	0.0	[]
25	Il ne fut que médiocrement afligé d' être banni d' une cour qui n' était rempli que de tracasseries et de petitesses, il fit une chanson fort plaisante contre le muphti dont celui-ci ne s' embarrassa guères, et il se mit à voyager de planéte en planéte pour achever de se former l' esprit et le cœur , comme l' on dit.	1	21	61	1	0.01639344262295082	[['fort']]
26	Ceux qui ne voyagent	1	22	4	0	0.0	[]
27	qu' en chaise de poste ou en berline, seront sans doute étonnés des équipages de là-haut;	1	23	17	0	0.0	[]
28	car nous autres sur notre petit tas de boüe, nous ne concevons rien au-delà de nos usages.	1	24	17	1	0.058823529411764705	[['petit']]
29	Nôtre voyageur connaissait merveilleusement les lois de la gravitation, et toutes les forces attractives et répulsives.	1	25	16	0	0.0	[]
30	Il s' en servait si à propos, que tantôt à l' aide d' un rayon dusoleil, tantôt par la commodité d' une cométe, il allait de globe en globe, lui et les siens, comme un oiseau voltige de branche en branche;	1	26	41	0	0.0	[]
31	il parcourut la voie lactée en peu de temps, et je suis obligé d' avouer qu' il ne vit jamais au travers des étoiles dont on la croit semée, ce beau ciel empiré que l' illustre vicaire Dersham se vante d' avoir vu au bout de sa lunette.	1	27	48	1	0.020833333333333332	[['beau']]
32	Ce n' est pas que je prétende que M Dersham ait mal vu, à Dieu ne plaise, mais Micromégas était sur les lieux, c' est un bon observateur, et je ne veux contredire personne.	1	28	34	0	0.0	[]
33	Micromégas après avoir bien tourné arriva dans le globe de Saturne.	1	29	11	0	0.0	[]
34	Quelqu' accoutumé qu' il fut de voir des choses nouvelles, il ne put d' abord se deffendre de ce sourire de supériorité qui échape quelquefois aux plus sages, en voyant la petitesse du globe et de ses habitants;	1	30	38	1	0.02631578947368421	[['sourire']]
35	car enfin Saturne n' est guères que neuf cens fois plus gros que la terre, et les citoyens de ce pays-là sont des nains qui n' ont que mille toises de haut ou environ;	1	31	35	2	0.05714285714285714	[['gros'], ['haut']]
36	il se mocqua un peu d' abord avec ses gens, à peu près comme un musicien italien se met à rire de la musique de Lully, quand il vient en France.	1	32	31	0	0.0	[]
37	Mais comme le sirien était un bon esprit, il comprit bien vite qu' un être pensant peut fort bien n' être pas ridicule pour n' avoir que six mille pieds de haut, il se familiarisa avecles saturniens, après les avoir étonnés.	1	33	41	3	0.07317073170731707	[['fort'], ['pied'], ['haut']]
38	Il lia une étroite amitié avec le sécretaire de l' académie de Saturne, homme de beaucoup d' esprit, qui n' avait à la vérité rien inventé, mais qui rendait un fort bon compte des inventions des autres, et qui faisait passablement de petits vers et de grands calculs.	1	34	48	3	0.0625	[['fort'], ['petit'], ['grand']]
39	Je rapporterai ici pour la satisfaction des lecteurs une conversation singulière que Micromégas eut un jour avec monsieur le sécretaire.	1	35	20	0	0.0	[]
40	CHAPITRE 2 conversation de Micromégas avec l' habitant de Saturne.	2	0	10	0	0.0	[]
41	après que son excellence se fut couchée, et que le sécrétaire se fut approché de son visage: il faut avouer, dit Micromégas, que la nature est bien variée.	3	0	28	1	0.03571428571428571	[['visage']]
42	Oui, dit le saturnien, la nature est comme un parterre dont les fleurs... ah!	3	1	14	0	0.0	[]
43	Dit l' autre, laissez-là votre par	3	2	7	0	0.0	[]
44	-	3	3	0	0	0	[]
45	terre.	3	4	1	0	0.0	[]
46	Elle est, reprit le sécrétaire, comme une assemblée de blondes et de brunes dont les parures... et qu' ai-je affaire de vos brunes?	3	5	24	0	0.0	[]
47	Dit l' autre.	3	6	3	0	0.0	[]
48	Elle est comme une galerie de peintures dont les traits... et non, dit le voyageur, encore une fois la nature est comme la nature, pourquoi lui chercher des comparaisons?	3	7	29	0	0.0	[]
49	Pour vous plaire, répondit le sécrétaire.	3	8	6	0	0.0	[]
50	Je ne veux pas qu' on me plaise, dit le voyageur, je veux qu' on m' instruise.	3	9	17	0	0.0	[]
51	Commencez d' abord	3	10	3	0	0.0	[]
52	par me dire combienles hommes de votre globe ont de sens.	3	11	11	0	0.0	[]
53	Nous en avons soixante et douze, dit l' académicien, et nous nous plaignons tous les jours du peu.	3	12	18	0	0.0	[]
54	Notre imagination và au-delà de nos besoins;	3	13	7	0	0.0	[]
55	nous trouvons qu' avec nos soixante et douze sens, notre anneau, nos cinq lunes, nous sommes trop bornés, et malgré notre curiosité, et le nombre assez grand des passions qui résultent de nos soixante et douze sens, nous avons tous le temps de nous ennuyer.	3	14	45	1	0.022222222222222223	[['grand']]
56	Je le crois bien, dit Micromégas, car dans notre globe nous avons près de mille sens, et il nous reste encore je ne sçai quel désir vague, je ne sçai quelle inquiétude, qui nous avertit sans cesse que nous sommes peu de chose, et qu' il y a des êtres beaucoup plus parfaits.	3	15	53	0	0.0	[]
57	J' ai un peu voyagé, j' ai vu des mortels fort au-dessous de nous;	3	16	15	1	0.06666666666666667	[['fort']]
58	j' en ai vu de fort supérieurs, mais je n' en ai vu aucuns qui n' aient plus de désirs que de vrais besoins, et plus de besoins que de satisfactions.	3	17	31	1	0.03225806451612903	[['fort']]
59	J' arriverai peut être un jour au pays où il ne manque rien; mais jusqu' à présent personne ne m' a donné de nouvelles positives de ce pays-là.	3	18	29	0	0.0	[]
60	Le saturnien et le sirien s' épuiserent alors en conjectures: après beaucoup de raisonnement fort ingénieux, et fort incertains, il en fallut venir aux faits.	3	19	25	2	0.08	[['fort'], ['fort']]
61	Combien de temps vivez-vous, dit le sirien?	3	20	8	0	0.0	[]
62	Ah, bien peu, répliqua le petit homme de Saturne.	3	21	9	1	0.1111111111111111	[['petit']]
63	C' est tout comme chez nous, dit le sirien, nous nous plaignons toujours du peu.	3	22	15	0	0.0	[]
64	Il faut que ce soit une loi universelle de lanature.	3	23	10	0	0.0	[]
65	Hélas!	3	24	1	0	0.0	[]
66	Nous ne vivons, dit le saturnien que cinq cens grandes revolutions du soleil cela revient à quinze mille ans ou environ à compter à notre manière.	3	25	26	1	0.038461538461538464	[['grand']]
67	.	4	0	0	0	0	[]
68	Vous voyez bien que c' est mourir presque au moment où l' on est né, notre existence est un point, notre durée un instant, notre globe un atôme.	4	1	28	1	0.03571428571428571	[['mourir']]
69	à	4	2	1	0	0.0	[]
70	peine a-t-on commencé à s' instruire	4	3	8	0	0.0	[]
71	un peu, que la mort arrive avant que l' on ait de l' expérience;	4	4	14	0	0.0	[]
72	pour moi je n' ose faire aucuns projets;	4	5	8	0	0.0	[]
73	je me trouve comme une goute d' eau dans un occéan immense.	4	6	12	0	0.0	[]
74	Je suis honteux sur tous devant vous de la figure ridicule que je fais dans ce monde.	4	7	17	1	0.058823529411764705	[['figure']]
75	Micromégas lui repartit si vous n' étiez pas philosophe, je craindrais de vous afliger en vous apprenant que notre vie est sept cent fois plus longue que la votre;	4	8	29	1	0.034482758620689655	[['long']]
76	mais vous savez trop bien que quand il faut rendre son corps aux élemens, et ranimer la nature sous une autre forme, ce qui s' appelle mourir, quand ce moment de métamorphose est vénu, avoir vécu une éternité, ou avoir vécu un jour c' est précisément la même chose.	4	9	49	2	0.04081632653061224	[['corps'], ['mourir']]
77	J' ai été dans des pays où l' on vit mille fois plus long-temps que chez moi, et j' ai trouvé qu' on y murmurait encore.	4	10	27	1	0.037037037037037035	[['long']]
78	Mais il y a partout des gens de bon sens qui savent prendre leur parti, et remercier l' auteur de la nature.	4	11	22	0	0.0	[]
79	Il a répandu sur cet univers une profusion de variétés avec une espèce d' uniformité admirable.	4	12	16	0	0.0	[]
80	Par exemple, tous les êtres pensant sont différents, et tous se ressemblent au fond par le don des pensées et des désirs, la matière est partout étendue, mais elle a danschaque globe des propriétés diverses, combien comptez vous de ces propriétés principales dans votre matière?	4	13	45	0	0.0	[]
81	Si vous parlez de ces propriétés, dit le saturnien, sans lesquelles nous croyons que ce globe ne pourrait subsister tel qu' il est, nous en comptons trois cens;	4	14	28	0	0.0	[]
82	comme l' étendue, l' impénétrabilité, la mobilité, la gravitation, la divisibilité et le reste.	4	15	14	0	0.0	[]
83	Apparemment, répliqua le voyageur que ce petit nombre suffit aux vues que le créateur avait sur votre petite habitation.	4	16	19	2	0.10526315789473684	[['petit'], ['petit']]
84	J' admire en tout sa sagesse: je vois partout des différences, mais aussi partout des proportions, votre globe est petit, vos habitants le sont aussi, vous avez peu de sensations, votre matière a peu de propriétés, tout cela est l' ouvrage de la providence.	4	17	44	1	0.022727272727272728	[['petit']]
85	De quelle couleur est votre soleil bien examiné.	4	18	8	1	0.125	[['couleur']]
86	D' un blanc fort jaunâtre, dit le saturnien, et quand nous divisons un de ses rayons, nous trouvons qu' il contient sept couleurs: notre soleil tire sur le rouge, dit le sirien, et nous avons trente-neuf couleurs primitives.	4	19	38	6	0.15789473684210525	[['blanc'], ['fort'], ['jaunâtre'], ['couleur'], ['rouge'], ['couleur']]
87	Il n' y a pas un soleil parmi tous ceux dont j' ai approché qui se ressemble, comme chez vous il n' y a pas un visage qui ne soit différent de tous les autres.	4	20	35	1	0.02857142857142857	[['visage']]
88	Après plusieurs questions de cette nature, il s' informa combien de substances essentiellement différentes on comptait dans Saturne.	4	21	18	0	0.0	[]
89	Il apprit qu' on n' en comptait qu' une trentaine, comme Dieu, l' espace, la matière, les êtres étendus qui sentent, les êtres étendus qui sentent et qui pensent, les êtres pensant qui n' ont pas d' étendue, ceux qui se pénétrent, ceux qui ne se pénétrent pas, et le reste.	4	22	51	1	0.0196078431372549	[['pénétrer']]
90	Le sirien chez qui on en comptait trois cent et qui en avait découvert trois mille autres dans ses voyages, étonna prodigieusement le philosophe de Saturne.	4	23	26	0	0.0	[]
91	Enfin après s'	4	24	3	0	0.0	[]
92	être communiquél' un et l' autre ce qu' ils sçavaient, et même ce qu' ils ne sçavaient pas, après avoir raisonné pendant une révolution du soleil, ils résolurent de faire ensemble un petit voyage philosophique.	4	25	35	2	0.05714285714285714	[['pendant'], ['petit']]
93	CHAPITRE 3 voyage des deux habitants de l' autre monde.	5	0	10	0	0.0	[]
94	nos deux philosophes étaient prêts à s' embarquer pour l' atmosphére de Saturne, avec une fort jolie provision d' instrument de mathématiques, lorsque la maîtresse du saturnien qui en eut des nouvelles vint en larmes faire ses remontrances, c' était une fort jolie petite brune qui n' avait que six cens soixante toises, mais qui reparoit par bien des agrément la petitesse de sa taille.	6	0	65	5	0.07692307692307693	[['fort'], ['joli'], ['fort'], ['joli'], ['petit']]
95	Ah cruel, s' écria-t-elle, après t' avoir résisté quinze cens ans, lorsqu' enfin je commençais à me rendre, quand j' ai à peine passé deux cens ans entre tes bras, tu me quittes pour aller voyager avec un géant d' un autre monde, va tu n' es qu' un curieux, tu n' as jamais eû d' amour, si tu étais un vrai saturnien tu serais fidèle: où vas-tu courir?	6	1	72	2	0.027777777777777776	[['ton'], ['bras']]
96	Que veux-tu?	6	2	3	0	0.0	[]
97	Nos cinq lunes sont moins errantes que toi, notre anneau est moins changeant, voilà qui est fait, je n' aimerai jamais plus personne.	6	3	23	0	0.0	[]
98	Le philosophe l' embrassa, pleura avec elle, tout philosophe qu' ilétoit, et la dame après s' être pâmée alla se consoler avec un petit maître du pays.	6	4	27	2	0.07407407407407407	[['consoler'], ['petit']]
99	Cependant nos deux curieux partirent, ils sauterent d' abord sur l' anneau qu' ils trouvèrent assez plat, comme l' a fort bien deviné un illustre habitant de notre petit globe: de-là ils allèrent aisément de lune en lune, une cométe passait tout auprès de la dernière, ils s'	6	5	48	3	0.0625	[['plat'], ['fort'], ['petit']]
100	élancerent sur elle avec leur domestique, et leurs instrument.	6	6	9	0	0.0	[]
101	Quand ils eurent fait environ cent cinquante millions de lieues, ils rencontrerent les satelites de Jupiter.	6	7	16	0	0.0	[]
102	Ils passèrent dans Jupiter même, et y restèrent une année, pendant laquelle ils apprirent de fort beaux sécrets qui seraient actuellement sous presse sans messieurs les inquisiteurs qui ont trouvé quelques propositions un peu dures.	6	8	35	2	0.05714285714285714	[['pendant'], ['fort']]
103	Mais j' en ai lu le manuscrit dans la bibliothèque de l' illustre archevêque de * qui m' a fait voir ses livres avec cette générosité, et cette bonté qu' on ne saurait assez louer.	6	9	34	0	0.0	[]
104	Aussi je lui promets un long article dans la première édition qu' on fera de Moreri, et je n' oublierai pas surtout messieurs ses enfants qui donnent une si grande espérance de perpétuer la race de leur illustre père.	6	10	39	2	0.05128205128205128	[['long'], ['grand']]
105	Mais revenons à nos voyageurs: en sortant de Jupiter ils traverserent un espace d' environ cent millions de lieues, et ils cotoyerent la planéte de Mars, qui comme on sait est cinq cens fois plus petite que notre petit globe.	6	11	40	2	0.05	[['petit'], ['petit']]
106	Ils virent deux lunes qui servent à cette planéte, qui ont échappé aux regards de nos astronomes.	6	12	17	1	0.058823529411764705	[['regard']]
107	Je sais bien que le père Castel écrira même assez plaisamment contre l' existence de ces deux lunes, mais je m' en rapporte à ceux qui raisonnent par analogie.	6	13	29	0	0.0	[]
108	Ces bons philosophes là savent combien il serait difficile que Mars qui est si loin du soleil, se passât à moins de deux lunes;	6	14	24	0	0.0	[]
109	quoiqu' il en soit, nos gens trouvèrent cela si petit, qu' ils craignirent de n' y pas trouver de quoi coucher, ils passèrent leur chemin comme deux voyageurs qui dédaignent un mauvais cabaret de village, et poussent jusqu' à la ville voisine.	6	15	42	1	0.023809523809523808	[['petit']]
110	Mais le sirien et son compagnon s' en repentirent bientôt;	6	16	10	0	0.0	[]
111	ils allèrent long-temps et ne trouvèrent rien.	6	17	8	1	0.125	[['long']]
112	Enfin ils aperçurent une petite lueur, c' était la terre, cela fit pitié à des gens qui venaient de Jupiter;	6	18	20	1	0.05	[['petit']]
113	cependant de peur de se répentir une seconde fois, ils résolurent de débarquer, ils passèrent sur la queue de la cométe, et trouvant une aurore boréale qui était toute prête, ils se mirent dedans, et arriveront à terre sur le bord septentrional de la mer Baltique, le 5 juillet 1737.	6	19	50	0	0.0	[]
114	Nouveau style.	6	20	2	0	0.0	[]
115	CHAPITRE 4 ce qui leur arrive sur le globe de la terre.	7	0	12	0	0.0	[]
116	après s' être reposé quelque temps, ils voulurent reconnaitre le petit pays où ils étaient, ils allèrent d' abord du nord au sud, les pas ordinaires du sirien et de ses gensétoient d' environ trente mille pieds de roi: le nain de Saturne, dont la taille n' était que de mille toises suivait de loin en haletant;	8	0	57	2	0.03508771929824561	[['petit'], ['taille']]
117	or il fallait qu' il fit environ douze pas quand l' autre ne faisait qu' une enjambée;	8	1	17	0	0.0	[]
118	figurez-vous (s' il est permis de faire de telles comparaisons) un très-petit chien de manchon qui suivrait un capitaine de gardes du roi de Prusse.	8	2	27	1	0.037037037037037035	[['petit']]
119	Comme ces étrangers-là vont assez vite, ils eurent fait le tour du globe en trente-six heures;	8	3	17	0	0.0	[]
120	le soleil à la vérité, ou plutôt la terre fait un pareil voyage en une journée;	8	4	16	0	0.0	[]
121	mais il faut songer qu' on va bien plus à son aise quand on tourne sur son axe, que quand on marche sur ses pieds.	8	5	25	0	0.0	[]
122	Les voilà donc revenus d' où ils étaient partis, après avoir vu cette mare presque' imperceptible pour eux, que l' on nomme la Méditerranée, et cet autre petit étang, qui sous le nom du grand occean entoure la taupiniére.	8	6	39	2	0.05128205128205128	[['petit'], ['grand']]
123	Le nain n' en avait jamais jusqu' à mi-jambe, et à peine l' autre avait-il mouillé son talon.	8	7	19	0	0.0	[]
124	Ils firent tout	8	8	3	0	0.0	[]
125	ce qu' ils purent en allant dessus et dessous pour tâcher de savoir si ce globe était habité ou non;	8	9	20	0	0.0	[]
126	ils se baisserent, ils se coucherent, ils tâterent partout,	8	10	9	0	0.0	[]
127	mais leurs yeux et leur main n' étant pas proportionnées aux petits êtres qui rampent ici, ils ne reçurent pas la moindre sensation qui pût leur faire soupçonnerque nous et nos confréres les autres habitants de ce globe avons l' honneur d' exister.	8	11	43	3	0.06976744186046512	[['oeil'], ['main'], ['petit']]
128	Le nain qui jugeait quelquefois un peu trop vite, décida d' abord qu' il n' y avait personne sur la terre, sa première raison était qu' il n' avait vu personne.	8	12	31	0	0.0	[]
129	Micromégas lui fit sentir poliment que c' était raisonner assez mal, car disait-il, vous ne voyez pas avec vos petits yeux certaines étoiles de la cinquantiéme grandeur que j' aperçois très-distinctement, concluez-vous de là que ces étoiles n' existent pas;	8	13	43	2	0.046511627906976744	[['petit'], ['oeil']]
130	mais dit le nain, j' ai bien tâté: mais répondit l' autre vous avez mal senti;	8	14	16	0	0.0	[]
131	mais dit le nain, ce globe	8	15	6	0	0.0	[]
132	-ci est si mal construit, cela est si irrégulier, et d' une forme qui me parait si ridicule!	8	16	18	0	0.0	[]
133	Tout semble être ici dans le cahot, voyez-vous ces petits ruisseaux dont aucun ne va de droit fil: ces étangs, qui ne sont ni ronds, ni quarrés, ni ovales, ni sous aucune forme régulière?	8	17	35	4	0.11428571428571428	[['petit'], ['droit'], ['rond'], ['ovale']]
134	Tous ces petits grains pointus dont ce globe est herissé, et qui m' ont écorchés les pieds, (il voulait parler des montagnes).	8	18	24	2	0.08333333333333333	[['petit'], ['pied']]
135	Remarquez-vous encore la forme de tout le globe.	8	19	9	0	0.0	[]
136	Comme il est plat aux pôles, comme il tourne autour du soleil d' une manière gauche de façon que les climats des pôles sont nécessairement incultes: en vérité ce qui fait que je pense qu' il n' y a ici personne, c' est qu' il me parait que des gens de bon sens n' y voudraient pas demeurer.	8	20	58	1	0.017241379310344827	[['plat']]
137	Eh bien, dit Micromégas, ce ne sont peut-être pas non plus des gens de bon sens qui l' habitent: mais enfin il y a quelque aparence que ceci n' est pas fait pour rien.	8	21	34	0	0.0	[]
138	Tout vous parait irrégulier ici, dites vous, parce que tout est tiré au cordeau dans Saturne et dans Jupiter, eh c' est peut-être par cette raison-là même, qu' il y a ici un peu de confusion;	8	22	37	0	0.0	[]
139	ne vous ai-je pas dit que dansmes voyages j' avais toujours remarqué de la variété?	8	23	16	0	0.0	[]
140	Le saturnien répliqua à toutes ces raisons;	8	24	7	0	0.0	[]
141	la dispute n' eut jamais finie, si par bonheur Micromégas en s' échauffant à parler n' eut cassé le fil de son collier de diamants;	8	25	25	0	0.0	[]
142	ces diamants tombèrent;	8	26	3	0	0.0	[]
143	c' était de jolis petits karats assez inégaux, dont les plus gros pésoient quatre cens livres, et les plus petits cinquante, le nain en ramassa quelques-uns;	8	27	26	4	0.15384615384615385	[['joli'], ['petit'], ['gros'], ['petit']]
144	il s' aperçut en les approchant de ses yeux, que ces diamants de la façon dont ils étaient taillés étaient d' excellent microscopes.	8	28	23	1	0.043478260869565216	[['oeil']]
145	Il prit donc un petit microscope de cent soixante pieds de diamétre qu' il appliqua à sa prunelle et Micromégas en choisit un de deux mille cinq cens pieds.	8	29	29	3	0.10344827586206896	[['petit'], ['pied'], ['prunelle']]
146	Ils étaient excellent, mais d' abord on ne vit rien par leur sécours.	8	30	13	0	0.0	[]
147	Il fallait s' ajuster.	8	31	4	0	0.0	[]
148	Enfin l' habitant de Saturne vit quelque chose d' imperceptible qui remuait entre deux eaux dans la mer Baltique.	8	32	19	0	0.0	[]
149	C' était une baleine, il la prit avec le petit doigt fort adroitement, et la mettant sur l' ongle de son pouce il la fit voir au sirien qui se mit à rire pour la seconde fois de voir l' excès de petitesse dont étaient les habitants de notre globe.	8	33	50	5	0.1	[['petit'], ['doigt'], ['fort'], ['ongle'], ['pouce']]
150	Le saturnien convaincu que notre monde était habité, s' imagina bien vite qu' il ne l' était que par des baleines, et comme il était grand raisonneur, il voulut deviner d' où un si petit atome tirait son origine, son mouvement, s' il avait des idées, une volonté, une liberté.	8	34	50	2	0.04	[['grand'], ['petit']]
151	Micromégas y fut fort embarassé, il examina l' animal fort patiemment, et le résultat de l' examen fut qu' il n' y avait pas moyen de croire qu' une âme fut logée là.	8	35	33	2	0.06060606060606061	[['fort'], ['fort']]
152	Les deuxvoyageurs inclinoient donc à penser qu' il n' y avait pas d' esprit dans notre habitation, lorsqu' à l' aide du microscope ils aperçurent quelque chose d' aussi gros qu' une baleine qui flottait sur la mer Baltique, on sait que dans ce temps-là même une volée de philosophes revenait du cercle pôlaire sous lequel il avait été fait des observations dont personne ne s' était avisé jusqu' alors.	8	36	71	1	0.014084507042253521	[['gros']]
153	Les gazettes dirent que leur vaisseau échoua aux côtes de Bosnie, et qu' ils eurent bien de la peine à se sauver;	8	37	22	0	0.0	[]
154	mais on ne sait jamais en ce monde le dessous des cartes;	8	38	12	0	0.0	[]
155	je vais raconter ingénuement comme la chose se passa, sans y rien mettre du mien, ce qui n' est pas un petit effort pour un historien.	8	39	26	1	0.038461538461538464	[['petit']]
156	CHAPITRE 5 Micromégas étendit la main tout doucement vers l' endroit d' où l' objet paraissait, et avançant deux doigts et les retirant par la crainte de se tromper, puis les ouvrant et les serrant, il saisit fort adroitement le vaisseau qui portait ces messieurs, et le mit encore sur son ongle sans le trop presser de peur de l' écraser.	9	0	61	6	0.09836065573770492	[['main'], ['doigt'], ['serrer'], ['fort'], ['ongle'], ['presser']]
157	Voici un animal bien différent du premier, dit le nain de Saturne;	9	1	12	0	0.0	[]
158	le sirien mit le prétendu animal dans le creux de sa main, les passagers et les gens de l' équipage qui s' étaient crus enlevés par un ouragan, et qui se croyaient sur une espèce de rocher, se mettent tous en mouvement;	9	2	42	2	0.047619047619047616	[['creux'], ['main']]
159	les matelots prennent des tonneauxde vin les jettent sur la main de Micromégas, et se précipitent après, les géométres prennent leur quart de cercle, leur secteur, deux filles lapones, et descendent sur le doigt du sirien, ils en firent tant qu' il sentit enfin remuer quelque chose qui lui chatouillait les doigts, c' était un bâton ferré qu' on lui enfonçait d' un pied dans l' index, il jugea par ce picotement qu' il était sorti quelque chose du petit animal qu' il tenait, mais il n' en soupçonna pas d' abord davantage;	9	3	93	7	0.07526881720430108	[['main'], ['doigt'], ['doigt'], ['enfoncer'], ['pied'], ['index'], ['petit']]
160	le microscope qui faisait à peine discerner une baleine et un vaisseau n' avait pas de prise sur un être aussi imperceptible que des hommes.	9	4	25	0	0.0	[]
161	Je ne prétends pas choquer ici la vanité de personne, mais je suis obligé de prier les important de faire ici une petite remarque avec moi;	9	5	26	1	0.038461538461538464	[['petit']]
162	c' est qu' en prenant la taille des hommes d' environ cinq pieds, nous ne faisons pas sur la terre une plus grande figure qu' en ferait sur une boule de dix pieds de tour un animal qui aurait à peu près la soixante milliéme partie d' un pied en hauteur, figurez-vous une substance qui pourrait tenir la terre dans sa main, et qui aurait des organes en proportion des notres, et il se peut très-bien faire qu' il y ait un grand nombre de ces substances.	9	6	89	8	0.0898876404494382	[['taille'], ['pied'], ['grand'], ['figure'], ['pied'], ['pied'], ['main'], ['grand']]
163	Or concevez, je vous prie, ce qu' elles penseraient de ces batailles qui font gagner au vainqueur un village pour le perdre ensuite.	9	7	23	0	0.0	[]
164	Je ne doute pas que si quelque capitaine de grands grénadierslit jamais cet ouvrage, il ne hausse de deux grands pieds au moins les bonnets de sa troupe, mais je l' avertis qu' il aura beau faire, que lui et les siens ne seront que des infiniment petits.	9	8	48	4	0.08333333333333333	[['grand'], ['grand'], ['pied'], ['beau']]
165	Quelle adresse merveilleuse ne fallut-il donc pas à notre philosophe sirien pour apercevoir les atômes dont je viens de parler?	9	9	21	0	0.0	[]
166	Quand Vanhoeck et Hartsoeker virent les premiers la graine dont nous sommes formés, ils ne firent pas à beaucoup près une si étonnante découverte.	9	10	24	0	0.0	[]
167	Quel plaisir sentit Micromégas en voyant remuer ces petites machines, en examinant tous leurs tours, en les suivant dans toutes leurs opérations?	9	11	22	1	0.045454545454545456	[['petit']]
168	Comme il s' écria, comme il mit avec joie un de ses microscopes dans les mains de son compagnon de voyage?	9	12	21	1	0.047619047619047616	[['main']]
169	Je les vois, disaient-ils tous les deux à la fois;	9	13	11	0	0.0	[]
170	ne les voyez vous pas qui portent des fardeaux, qui se baissent, qui se relevent?	9	14	15	0	0.0	[]
